Movie: Interstellar | 2014 | Christopher Nolan | Sci-Fi
Movie: Pulp Fiction | 1994 | Quentin Tarantino | Crime
Movie: Schindler's List | 1993 | Steven Spielberg | Drama
Movie: Titanic | 1997 | James Cameron | Romance
Movie: Avatar | 2009 | James Cameron | Sci-Fi
Movie: Inception | 2010 | Christopher Nolan | Sci-Fi
Movie: The Revenant | 2015 | Alejandro González Iñárritu | Drama
Movie: The Lion King | 1994 | Roger Allers, Rob Minkoff | Animation
Movie: Black Panther | 2018 | Ryan Coogler | Action
Movie: Gravity | 2013 | Alfonso Cuarón | Sci-Fi
Song: Bohemian Rhapsody | 1975 | Queen | Rock | Album: A Night at the Opera
Song: Hotel California | 1976 | Eagles | Rock | Album: Hotel California
Song: Smells Like Teen Spirit | 1991 | Nirvana | Grunge | Album: Nevermind
Song: Thriller | 1982 | Michael Jackson | Pop | Album: Thriller
Song: Stairway to Heaven | 1971 | Led Zeppelin | Rock | Album: Led Zeppelin IV
Song: Imagine | 1971 | John Lennon | Pop | Album: Imagine
Song: Like a Rolling Stone | 1965 | Bob Dylan | Folk | Album: Highway 61 Revisited
Song: La Noia | 2024 | Angelina Mango | Pop | Album: Poké melodrama
Song: Alba | 2023 | Ultimo | Pop | Album: Alba
Song: Amare | 2021 | La Rappresentante di Lista | Pop | Album: My Mammma
